g1080,hrh3
g1081,hrh4
g1082,hs3st1
g1083,hs3st3a1
g1084,hsd11b1
g1085,hsd11b2
g1086,hsd17b1
g1087,hsd17b10
g1088,hsd17b11
g1089,hsd17b2
g1090,hsd17b3
g1091,hsd17b4
g1092,hsd17b6
g1093,hsd17b7
g1094,hsd17b8
g1095,hsd3b1
g1096,hsd3b2
g1097,hsp90aa1
g1098,hsp90ab1
g1099,hsp90b1
g1100,hspa4
g1101,hspa5
g1102,hspa8
g1103,hspa9
g1104,hspb1
g1105,hspb2
g1106,hspd1
g1107,hspg2
g1108,htr1a
g1109,htr1b
g1110,htr1d
g1111,htr1e
g1112,htr1f
g1113,htr2a
g1114,htr2b
g1115,htr2c
g1116,htr3a
g1117,htr4
g1118,htr5a
g1119,htr6
g1120,htr7
g1121,htra1
g1122,hus1
g1123,hyal2
g1124,iars
g1125,iars2
g1126,ibsp
g1127,icam1
g1128,icam3
g1129,ide
g1130,idh1
g1131,idh2
g1132,idh3a
g1133,idh3b
g1134,idh3g
g1135,idi1
g1136,ifi27
g1137,ifna1
g1138,ifnar1
g1139,ifnar2
g1140,ifnb1
g1141,ifng
g1142,ifngr1
g1143,ifngr2
g1144,igf1
g1145,igf1r
g1146,igf2
g1147,igf2r
g1148,igfbp1
g1149,igfbp4
g1150,igfbp5
g1151,igfbp7
g1152,ighg1
g1153,ighg2
g1154,ighv3-23
g1155,igkc
g1156,igkv2-30
g1157,iglc1
g1158,igsf10
g1159,ikbkb
g1160,ikzf1
g1161,il10
g1162,il11
g1163,il11ra
g1164,il12b
g1165,il15
g1166,il17a
g1167,il17f
g1168,il18
g1169,il1a
g1170,il1b
g1171,il1r1
g1172,il1rn
g1173,il2
g1174,il2ra
g1175,il2rb
g1176,il2rg
g1177,il3
g1178,il3ra
g1179,il4i1
g1180,il5
g1181,il6
g1182,il6r
g1183,il7
g1184,il7r
g1185,ilf3
g1186,impdh1
g1187,impdh2
g1188,impg2
g1189,incenp
g1190,inhbe
g1191,inpp1
g1192,inpp5b
g1193,ins
g1194,insr
g1195,irak4
g1196,irf2
g1197,irgc
g1198,irs1
g1199,irs2
g1200,isg20
g1201,isyna1
g1202,itga2b
g1203,itga4
g1204,itga5
g1205,itgal
g1206,itgam
g1207,itgav
g1208,itgax
g1209,itgb2
g1210,itgb3
g1211,itgb7
g1212,itk
g1213,itpa
g1214,itpka
g1215,itpr1
g1216,ivd
g1217,ivl
g1218,jag1
g1219,jak1
g1220,jak2
g1221,jak3
g1222,jun
g1223,junb
g1224,jund
g1225,kars
g1226,kat2a
g1227,kat2b
g1228,kat5
g1229,kcna1
g1230,kcna10
g1231,kcna2
g1232,kcna3
g1233,kcna4
g1234,kcna5
g1235,kcna6
g1236,kcna7
g1237,kcnb1
g1238,kcnb2
g1239,kcnc1
g1240,kcnc2
g1241,kcnc3
g1242,kcnd1
g1243,kcnd2
g1244,kcnd3
g1245,kcne1
g1246,kcnh2
g1247,kcnh6
g1248,kcnh7
g1249,kcnj1
g1250,kcnj11
g1251,kcnj12
g1252,kcnj3
g1253,kcnj5
g1254,kcnj6
g1255,kcnj8
g1256,kcnk2
g1257,kcnk3
g1258,kcnk9
g1259,kcnma1
g1260,kcnmb1
g1261,kcnmb2
g1262,kcnmb3
g1263,kcnmb4
g1264,kcnn1
g1265,kcnn2
